Time(s);Output_Displacement
19,5;5
19,6;5
19,7;5
19,8;5
19,9;5
20;5
20,1;5
20,2;5
20,3;5
20,4;5
20,5;5
20,6;5
20,7;5
20,8;5
20,9;5
21;5
21,1;5
21,2;5
21,3;5,103
21,4;5,261
21,5;5,431
21,6;5,581
21,7;5,692
21,8;5,757
21,9;5,778
22;5,765
22,1;5,731
22,2;5,687
0,1;5,644
0,2;5,608
0,3;5,584
0,4;5,572
0,5;5,57
0,6;5,576
0,7;5,587
0,8;5,598
0,9;5,609
1;5,617
1,1;5,622
1,2;5,624
1,3;5,624
1,4;5,622
1,5;5,619
1,6;5,616
1,7;5,613
1,8;5,611
1,9;5,61
2;5,61
2,1;5,61
2,2;5,611
2,3;5,612
2,4;5,613
2,5;5,613
2,6;5,614
2,7;5,614
2,8;5,614
2,9;5,614
3;5,613
3,1;5,613
3,2;5,613
3,3;5,613
3,4;5,613
3,5;5,613
3,6;5,613
3,7;5,613
3,8;5,613
3,9;5,613
4;5,613
4,1;5,613
4,2;5,613
4,3;5,613
4,4;5,613
4,5;5,613
4,6;5,613
4,7;5,613
4,8;5,613
4,9;5,613
5;5,613
5,1;5,613
5,2;5,613
5,3;5,613
5,4;5,613
5,5;5,613
5,6;5,613
5,7;5,613
5,8;5,613
5,9;5,613
6;5,613
6,1;5,613
6,2;5,613
6,3;5,613
6,4;5,613
6,5;5,613
6,6;5,613
6,7;5,613
6,8;5,613
6,9;5,613
7;5,613
7,1;5,613
7,2;5,613
7,3;5,613
7,4;5,613
7,5;5,613
7,6;5,613
7,7;5,613
7,8;5,613
7,9;5,613
8;5,613
8,1;5,613
8,2;5,613
8,3;5,613
8,4;5,613
8,5;5,613
8,6;5,613
8,7;5,613
8,8;5,613
8,9;5,613
9;5,613
9,1;5,613
9,2;5,613
9,3;5,613
9,4;5,613
9,5;5,613
9,6;5,613
9,7;5,613
9,8;5,613
9,9;5,613
10;5,613
10,1;5,613
10,2;5,716
10,3;5,874
10,4;6,044
10,5;6,194
10,6;6,305
10,7;6,37
10,8;6,391
10,9;6,378
11;6,344
11,1;6,3
11,2;6,257
11,3;6,221
11,4;6,197
11,5;6,185
11,6;6,183
11,7;6,189
11,8;6,2
11,9;6,211
12;6,222
12,1;6,23
12,2;6,235
12,3;6,237
12,4;6,237
12,5;6,235
12,6;6,232
12,7;6,229
12,8;6,226
12,9;6,224
13;6,223
13,1;6,223
13,2;6,223
13,3;6,224
13,4;6,225
13,5;6,226
13,6;6,226
13,7;6,227
13,8;6,227
13,9;6,227
14;6,227
14,1;6,226
14,2;6,226
14,3;6,226
14,4;6,226
14,5;6,226
14,6;6,226
14,7;6,226
14,8;6,226
14,9;6,226
15;6,226
15,1;6,226
15,2;6,226
15,3;6,226
15,4;6,226
15,5;6,226
15,6;6,226
15,7;6,226
15,8;6,226
15,9;6,226
16;6,226
16,1;6,226
16,2;6,226
16,3;6,226
16,4;6,226
16,5;6,226
16,6;6,226
16,7;6,226
16,8;6,226
16,9;6,226
17;6,226
17,1;6,226
17,2;6,226
17,3;6,226
17,4;6,226
17,5;6,226
17,6;6,226
17,7;6,226
17,8;6,226
17,9;6,226
18;6,226
18,1;6,226
18,2;6,226
18,3;6,226
18,4;6,226
18,5;6,226
18,6;6,226
18,7;6,226
18,8;6,226
18,9;6,226
19;6,226
19,1;6,226
19,2;6,226
19,3;6,226
19,4;6,226
19,5;6,226
19,6;6,226
19,7;6,226
19,8;6,226
19,9;6,226
20;6,226
20,1;6,226
20,2;6,226
20,3;6,226
20,4;6,226
20,5;6,226
20,6;6,226
20,7;6,226
20,8;6,226
20,9;6,226
21;6,226
21,1;6,226
21,2;6,226
21,3;6,226
21,4;6,226
21,5;6,226
21,6;6,226
21,7;6,226
21,8;6,226
21,9;6,226
22;6,226
22,1;6,226
22,2;6,226
22,3;6,226
22,4;6,226
22,5;6,226
22,6;6,226
22,7;6,226
22,8;6,226
22,9;6,226
23;6,226
23,1;6,226
23,2;6,226
23,3;6,226
23,4;6,226
23,5;6,226
23,6;6,226
23,7;6,226
23,8;6,226
23,9;6,226
24;6,226
24,1;6,226
24,2;6,226
24,3;6,226
24,4;6,226
24,5;6,226
24,6;6,226
24,7;6,226
24,8;6,226
24,9;6,226
25;6,226
25,1;6,226
25,2;6,226
25,3;6,226
25,4;6,226
25,5;6,226
25,6;6,226
25,7;6,226
25,8;6,226
25,9;6,226
26;6,226
26,1;6,226
26,2;6,226
26,3;6,226
26,4;6,226
26,5;6,226
26,6;6,226
26,7;6,226
26,8;6,226
26,9;6,226
27;6,226
27,1;6,226
27,2;6,226
27,3;6,226
27,4;6,226
27,5;6,226
27,6;6,226
27,7;6,226
27,8;6,226
27,9;6,226
28;6,226
28,1;6,226
28,2;6,226
28,3;6,226
28,4;6,226
