Reference;Value;Cost Per unit;Cost per Board;Five Board Cost;JLC Part Number;Component name;Qty
BT1;Battery_Cell;US$0.0381;US$0.0381;US$0.1905;NA;Battery;1
C1;0.1 µF;US$0.0034;US$0.0034;US$0.017;C1779;Capacitor;1
C2;10000pF;US$0.0027;US$0.0027;US$0.0135;C15195;Capacitor;1
C3;100nF;US$0.0068;US$0.0068;US$0.034;C307331;Capacitor;1
C4;4.7uF;US$0.0112;US$0.0112;US$0.056;C1779;Capacitor;1
C5;0.1uF;US$0.0034;US$0.0054;US$0.027;C1779;Capacitor;1
C6;10uF;US$0.0048;US$0.0054;US$0.027;C1779;Capacitor;1
D1;MBR340;US$0.0659;US$0.0659;US$0.3295;C475721;Schottky ;1
D2;LED;US$0.0054;US$0.0054;US$0.027;C2286;LED;2
D3;1N47xxA;U$0.0186;U$0.0186;US$0.093;C66466;Diode;2
IC1;DW01A;US$0.0275;US$0.0275;;C436931;Lithium Protection;1
J5;USB_B_Micro;US$0.033;US$0.033;US$0.165;C404969;USB connector;1
J8;Conn_02x24_Counter_Clockwise;NA;NA;NA;NA;Header;1
Q1;FS8205A;US$0.06;US$0.2044;US$1.022;C908265;MOSFET;1
Q2;2N2219;US$0.0186;US$0.0186;US$0.093;C20526;Transistor;1
R1;47 ohm;US$0.0005;US$0.0015;US$0.075;C25118;Resistor;3
R2; 4.7k ohm;US$0.0010;US$0.003;US$0.015;C3152092;Resistor;1
R3-R5;0 ohm;US$0.0005;US$0.0020;US$0.01;C25086;Resistor;3
R8;1K;US$0.0028;US$0.0112;US$0.056;C21190;Resistor;4
R9;100 ohm;US$0.0028;US$0.0028;US$0.014;C22775;Resistor;1
R11;1.2K;US$0.0028;US$0.0028;US$0.014;C21190;Resistor;1
R14;10K;US$0.0028;US$0.0084;US$0.042;C17414;Resistor;3
R16;10K;US$0.0028;US$0.0028;US$0.014;C17414;Resistor;1
R18;10 ohm;US$0.0028;US$0.0056;US$0.028;C17415;Resistor;2
R24;10 ohm;US$0.0028;US$0.0056;US$0.028;C17415;Resistor;2
U1;LMT87DCK;US$0.9435;US$0.9435;US$4.7175;C206058;Temp Sensor;1
U2;LPS22HB;US$1.58;US$1.58;US$7.9;C94049;Pressure Sensor;1
U3;HT7533-1;US$0.135;US$0.1315;US$0.6575;C14289;Voltage Regulator;1
U4;TP4056;US$0.2027;US$0.2027;US$1.0135;C16581;Battery Charger;1
U5;FT234XD-R;US$2.448;US$2.448;US$12.24;C132158;FTDI;1
U6;CAT24C256;US$0.4718;US$0.4718;US$2.359;C79987;EEPROM;1
