Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,18650_HOLDER_TH,178.054,-89.168,90.0,top
C1,0.1 µF,C_1206_3216Metric,110.49,-70.866,-90.0,top
C2,10000pF,C_1206_3216Metric,120.904,-70.407,90.0,top
C3,100nF,C_1206_3216Metric,158.242,-93.726,90.0,top
C4,4.7uF,C_1206_3216Metric,160.782,-93.726,90.0,top
C5,0.1u,C_1206_3216Metric,140.97,-134.112,90.0,top
C6,10u,C_1206_3216Metric,133.858,-143.256,90.0,top
C7,4.7u,C_1206_3216Metric,98.806,-113.792,0.0,top
C8,10pF,C_1206_3216Metric,137.16,-86.106,180.0,top
C9,10pF,C_1206_3216Metric,136.447,-61.722,180.0,top
C10,47uF,C_1206_3216Metric,117.348,-128.27,-90.0,top
C11,1n,C_1206_3216Metric,153.924,-122.174,0.0,top
D1,MBR340,Schottky Diode,118.618,-138.43,0.0,top
D2,LED,LED_0603_1608Metric,163.576,-127.254,0.0,top
D4,LED,LED_0603_1608Metric,148.844,-140.716,0.0,top
IC1,DW01A,SOT23-6,131.572,-129.794,0.0,top
J1,Conn_01x24_Socket,PinSocket_1x24_P2.54mm_Vertical,131.748,-83.058,0.0,top
J2,Conn_01x24_Socket,PinSocket_1x24_P2.54mm_Vertical,146.329,-83.068,180.0,top
J3,Conn_01x10_Pin,PinHeader_1x10_P2.54mm_Vertical,153.67,-69.083,0.0,top
J4,Conn_01x05_Pin,PinHeader_1x05_P2.54mm_Vertical,103.378,-129.799,180.0,top
J5,USB_B_Micro,USB_Micro-B_XKB_U254-051T-4BH83-F1S,91.694,-88.361,-90.0,top
L1,10uH,L_1206_3216Metric,135.128,-123.19,0.0,top
Q1,FS8205A,SOT-23-6,122.682,-133.35,-90.0,top
Q2,CSD13381F4,DFN100X60X35-3N,149.682,-127.0,0.0,top
R1,300,R_1206_3216Metric,110.998,-60.96,0.0,top
R2,4.7k,R_1206_3216Metric,159.4505,-98.298,180.0,top
R3,0,R_1206_3216Metric,115.316,-74.168,0.0,top
R4,0,R_1206_3216Metric,152.654,-103.124,-90.0,top
R5,0,R_1206_3216Metric,152.654,-98.044,0.0,top
R6,300,R_1206_3216Metric,157.163,-112.014,0.0,top
R7,300,R_1206_3216Metric,153.924,-109.728,0.0,top
R8,1K,R_1206_3216Metric,125.73,-138.43,0.0,top
R9,10k,R_1206_3216Metric,142.24,-97.536,-90.0,top
R10,1K,R_1206_3216Metric,122.4895,-128.524,0.0,top
R11,1k,R_1206_3216Metric,143.5715,-127.0,0.0,top
R12,1K,R_1206_3216Metric,156.2715,-140.716,0.0,top
R13,1K,R_1206_3216Metric,156.21,-127.762,0.0,top
R14,100k,R_1206_3216Metric,141.732,-122.428,0.0,top
R15,300,R_1206_3216Metric,147.574,-122.428,0.0,top
R16,750,R_1206_3216Metric,122.936,-123.19,0.0,top
R17,100,R_1206_3216Metric,129.286,-122.936,0.0,top
R18,10,R_1206_3216Metric,119.253,-107.6975,-90.0,top
R19,10,R_1206_3216Metric,122.809,-107.696,-90.0,top
R20,0,R_1206_3216Metric,99.06,-109.728,0.0,top
R21,0,R_1206_3216Metric,140.716,-140.97,0.0,top
R22,10k,R_1206_3216Metric,142.24,-102.616,90.0,top
R23,180,R_1206_3216Metric,153.924,-117.094,0.0,top
R24,10,R_1206_3216Metric,101.2845,-75.692,0.0,top
R25,10,R_1206_3216Metric,111.4405,-100.0145,-90.0,top
R26,100k,R_1206_3216Metric,160.528,-117.094,0.0,top
R27,10k,R_1206_3216Metric,150.368,-86.5525,-90.0,top
R28,10k,R_1206_3216Metric,159.258,-80.53,0.0,top
R29,10k,R_1206_3216Metric,159.258,-83.82,0.0,top
R30,10k,R_1206_3216Metric,97.2205,-67.31,90.0,top
R31,0,R_1206_3216Metric,164.592,-81.5955,90.0,top
R32,0,R_1206_3216Metric,114.046,-66.548,0.0,top
SW1,SW_Push,SW_PUSH_6mm,122.682,-61.976,0.0,top
U1,LMT87DCK,SOT-353_SC-70-5,115.636,-70.978,0.0,top
U2,LPS22HB,ST_HLGA-10_2.5x2.5mm_P0.6mm_LayoutBorder3x2y,156.21,-104.231,0.0,top
U3,HT7533-1,SOT-89-3,106.172,-113.538,0.0,top
U4,TP4056,SOP-8-1EP_4.57x4.57mm_P1.27mm_EP4.57x4.45mm,151.768,-133.985,0.0,top
U5,FT234XD-R,SON45P300X300X80-13N,110.49,-84.074,-90.0,top
U7,TPS61022RWUR,CONV_TPS61022RWUR,137.201,-129.298,0.0,top
U8,AT24C256C-SSHL-T,SOIC127P600X175-8N,120.142,-98.8385,-90.0,top
Y1,8Mhz,Crystal_SMD_HC49-SD_HandSoldering,136.906,-73.406,90.0,top
