"Reference","Value","Component Name","Cost Per unit","Cost per Board","Five Board Cost","JLC Part Number","Qty"
"BT1","5","Battery","","0.0381","0.1905","","1"
"C1","0.1 µF","Capacitor","U$0.0138","U$0.0138","U$0.069","NA","1"
"C2","10000pF","Capacitor","U$0.0131","U$0.0131","U$0.0655","NA","1"
"C3","100nF","Capacitor","U$0.0138","U$0.0138","U$0.069","C307331","1"
"C4","4.7uF","Capacitor","U$0.0339","U$0.0339","U$0.1695","C1779","1"
"C5","0.1u","Capacitor","U$0.0138","U$0.0138","U$0.069","","1"
"C6","10u","Capacitor","U$0.0317","U$0.0317","U$0.1585","","1"
"C7","4.7u","Capacitor","U$0.0339","U$0.0339","U$0.1695","","1"
"C8, C9","10pF","Capacitor","US$0.0055","US$0.011","US$0.055","","2"
"C10","47uF","Capacitor","U$0.0795","U$0.0795","U$0.3975","","1"
"C11","1n","Capacitor","U$0.0378","U$0.0378","U$0.189","","1"
"D1","MBR340","Schottky ","US$0.0659","US$0.0659","US$0.3295","","1"
"D2, D4","LED","LED","US$0.0054","US$0.0108","US$0.054","","2"
"IC1","DW01A","Lithium Protection","US$0.0275","US$0.0275","US$0.1375","","1"
"J1, J2","Conn_01x24_Socket","","","","","","2"
"J3","Conn_01x10_Pin","Pin Header 1x10","U$0.0388","U$0.0388","U$0.194","","1"
"J4","Conn_01x05_Pin","Pin Header 1x5","U$0.0275"," U$0.0275"," U$0.1375","","1"
"J5","USB_B_Micro","USB connector","U$0.0333","U$0.0333","U$0.1665","","1"
"L1","10uH","Inductor","U$0.0155","U$0.0155","U$0.0775","","1"
"Q1","FS8205A","MOSFET","U$0.0635","U$0.0635","US$0.3175","","1"
"Q2","CSD13381F4","Transistor","US$0.0106","US$0.0106","US$0.053","","1"
"R1, R6, R7, R15","300","Resistor","U$0.0030","-- mixed values --","-- mixed values --","-- mixed values --","4"
"R2","4.7k","Resistor","U$0.0029","U$0.0029","U$0.0145","NA","1"
"R3-R5, R20, R21, R31, R32","0","Resistor","U$0.0030","U$0.021","U$0.105","-- mixed values --","7"
"R8, R10, R12, R13","1K","Resistor","U$0.0030","U$0.012","U$0.06","","4"
"R9, R22, R27-R30","10k","Resistor","U$0.0029","U$0.0174","U$0.0087","","6"
"R11","1k","Resistor","U$0.0030","U$0.0030","U$0.0030","","1"
"R14, R26","100k","Resistor","U$0.0031","U$0.0062","U$0.031","","2"
"R16","750","Resistor","U$0.0032","U$0.0032","U$0.016","","1"
"R17","100","Resistor","U$0.0031","U$0.0031","U$0.0155","","1"
"R18, R19, R24, R25","10","Resistor","US$0.0029","US$0.0058","US$0.029","","4"
"R23","180","Resistor","U$0.0033","U$0.0033","U$0.0165","","1"
"SW1","SW_Push","Push Button","U$0.2669","U$0.2669","U$1.3345","","1"
"TP1-TP8, TP11-TP14","TestPoint","","","","","","12"
"U1","LMT87DCK","Temp Sensor","U$0.9827","U$0.9827","U$5.9135","C206058","1"
"U2","LPS22HB","Pressure Sensor","US$1.4559","US$1.4559","US$7.2795","C94049","1"
"U3","HT7533-1","Voltage Regulator","US$0.1279","US$0.1279","US$0.6395","","1"
"U4","TP4056","Battery Charger","U$0.1771","U$0.1771","U$0.8855","","1"
"U5","FT234XD-R","FTDI","U$2.448","U$2.448","US$12.24","","1"
"U7","TPS61022RWUR","UVLO","U$0.6269","U$0.6269","U$3.1345","","1"
"U8","AT24C256C-SSHL-T","EEPROM","U$0.4639","U$0.4639","U$2.3195","","1"
"Y1","8Mhz","Crystal Oscillator","U$0.0884","U$0.0884","U$0.442","","1"
